code,name,is_terrestrial,is_marine,is_artificial,is_misc,is_introduced
9.8.1,Outer reef channel,FALSE,TRUE,FALSE,FALSE,FALSE
9.8.2,Back slope,FALSE,TRUE,FALSE,FALSE,FALSE
9.8.3,Foreslope (outer reef slope),FALSE,TRUE,FALSE,FALSE,FALSE
9.8.4,Lagoon,FALSE,TRUE,FALSE,FALSE,FALSE
9.8.5,Inter-reef soft substrate,FALSE,TRUE,FALSE,FALSE,FALSE
9.8.6,Inter-reef rubble substrate,FALSE,TRUE,FALSE,FALSE,FALSE
9.9,Seagrass (Submerged),FALSE,TRUE,FALSE,FALSE,FALSE
9.1,Estuaries,FALSE,TRUE,FALSE,FALSE,FALSE
10,Marine Oceanic,FALSE,TRUE,FALSE,FALSE,FALSE
10.1,Epipelagic (0-200 m),FALSE,TRUE,FALSE,FALSE,FALSE
10.2,"Mesopelagic (200-1,000 m)",FALSE,TRUE,FALSE,FALSE,FALSE
10.3,"Bathypelagic (1,000-4,000 m)",FALSE,TRUE,FALSE,FALSE,FALSE
10.4,"Abyssopelagic (4,000-6,000 m)",FALSE,TRUE,FALSE,FALSE,FALSE
11,Marine Deep Ocean Floor (Benthic and Demersal),FALSE,TRUE,FALSE,FALSE,FALSE
11.1,"Continental Slope/Bathyl Zone (200-4,000 m)",FALSE,TRUE,FALSE,FALSE,FALSE
11.1.1,Hard Substrate,FALSE,TRUE,FALSE,FALSE,FALSE
11.2,"Abyssal Plain (4,000-6,000 m)",FALSE,TRUE,FALSE,FALSE,FALSE
11.1.2,Soft Substrate,FALSE,TRUE,FALSE,FALSE,FALSE
11.3,"Abyssal Mountain/Hills (4,000-6,000 m)",FALSE,TRUE,FALSE,FALSE,FALSE
11.4,"Hadal/Deep Sea Trench (>6,000 m)",FALSE,TRUE,FALSE,FALSE,FALSE
11.5,Seamount,FALSE,TRUE,FALSE,FALSE,FALSE
11.6,Deep Sea Vents (Rifts/Seeps),FALSE,TRUE,FALSE,FALSE,FALSE
12,Marine Intertidal,TRUE,FALSE,FALSE,FALSE,FALSE
12.1,Rocky Shoreline,TRUE,FALSE,FALSE,FALSE,FALSE
12.2,"Sandy Shoreline and/or Beaches, Sand Bars, Spits, etc.",TRUE,FALSE,FALSE,FALSE,FALSE
12.3,Shingle and/or Pebble Shoreline and/or Beaches,TRUE,FALSE,FALSE,FALSE,FALSE
12.4,Mud Shoreline and Intertidal Mud Flats,TRUE,FALSE,FALSE,FALSE,FALSE
12.5,Salt Marshes (Emergent Grasses),TRUE,FALSE,FALSE,FALSE,FALSE
12.7,Mangrove Submerged Roots,TRUE,FALSE,FALSE,FALSE,FALSE
12.6,Tidepools,TRUE,FALSE,FALSE,FALSE,FALSE
13,Marine Coastal/Supratidal,TRUE,FALSE,FALSE,FALSE,FALSE
13.1,Sea Cliffs and Rocky Offshore Islands,TRUE,FALSE,FALSE,FALSE,FALSE
13.2,Coastal Caves/Karst,TRUE,FALSE,FALSE,FALSE,FALSE
13.3,Coastal Sand Dunes,TRUE,FALSE,FALSE,FALSE,FALSE
13.4,Coastal Brackish/Saline Lagoons/Marine Lakes,TRUE,FALSE,FALSE,FALSE,FALSE
13.5,Coastal Freshwater Lakes,TRUE,FALSE,FALSE,FALSE,FALSE
14,Artificial - Terrestrial,TRUE,FALSE,TRUE,FALSE,FALSE
14.1,Arable Land,TRUE,FALSE,TRUE,FALSE,FALSE
14.2,Pastureland,TRUE,FALSE,TRUE,FALSE,FALSE
14.3,Plantations,TRUE,FALSE,TRUE,FALSE,FALSE
14.4,Rural Gardens,TRUE,FALSE,TRUE,FALSE,FALSE
14.5,Urban Areas,TRUE,FALSE,TRUE,FALSE,FALSE
14.6,Subtropical/Tropical Heavily Degraded Former Forest,TRUE,FALSE,TRUE,FALSE,FALSE
15,Artificial - Aquatic,TRUE,FALSE,TRUE,FALSE,FALSE
15.1,Water Storage Areas [over 8 ha],TRUE,FALSE,TRUE,FALSE,FALSE
15.2,Ponds [below 8 ha],TRUE,FALSE,TRUE,FALSE,FALSE
15.3,Aquaculture Ponds,TRUE,FALSE,TRUE,FALSE,FALSE
15.4,Salt Exploitation Sites,TRUE,FALSE,TRUE,FALSE,FALSE
15.5,Excavations (open),TRUE,FALSE,TRUE,FALSE,FALSE
15.6,Wastewater Treatment Areas,TRUE,FALSE,TRUE,FALSE,FALSE
15.7,Irrigated Land [includes irrigation channels],TRUE,FALSE,TRUE,FALSE,FALSE
15.8,Seasonally Flooded Agricultural Land,TRUE,FALSE,TRUE,FALSE,FALSE
15.9,"Canals and Drainage Channels, Ditches",TRUE,FALSE,TRUE,FALSE,FALSE
15.1,Karst and Other Subterranean Hydrological Systems [human-made],TRUE,FALSE,TRUE,FALSE,FALSE
15.11,Marine Anthropogenic Structures,FALSE,TRUE,TRUE,FALSE,FALSE
15.12,Mariculture Cages,FALSE,TRUE,TRUE,FALSE,FALSE
15.13,Mari/Brackish-culture Ponds,TRUE,FALSE,TRUE,FALSE,FALSE
16,Introduced Vegetation,TRUE,FALSE,FALSE,FALSE,TRUE
17,Other,TRUE,FALSE,FALSE,TRUE,FALSE
18,Unknown,TRUE,FALSE,FALSE,TRUE,FALSE
